14.5,20.44,44.44,11.11,Tier 3
15,21.29,12.5,12.5,Tier 3
17,26.41,25,25,Tier 3
17.5,17.77,44.44,22.22,Tier 3
14,17.45,33.33,22.22,Tier 3
15.1,15.5,14.29,14.29,Tier 4
13.5,16.79,37.5,62.5,Tier 4
17.6,22.22,0,11.11,Tier 4
14.7,13.86,28.57,14.29,Tier 4
17.6,10.23,0,16.67,Tier 4
11.7,9.27,0,28.57,Tier 4
16,16.05,25,12.5,Tier 4
13,9.96,0,16.67,Tier 4
14.1,12.81,57.14,28.57,Tier 4
11.6,9.67,14.29,14.29,Tier 4
13.4,6.93,16.67,16.67,Tier 4
13.1,9.08,14.29,14.29,Tier 4
17.7,22.46,11.11,11.11,Misting
14.6,17.2,12.5,62.5,Misting
15.8,15.52,28.57,71.43,Misting
18.7,33.46,20,10,Misting
15.5,15.05,14.29,0,Misting
16.7,13.98,14.29,0,Tier 1
18.5,15.47,42.86,14.29,Tier 1
16.3,16.88,25,12.5,Tier 1
17.5,10.58,0,0,Tier 1
17.4,16.66,28.57,14.29,Tier 1
13.9,11.91,42.86,28.57,Tier 1
14.4,12.04,50,0,Tier 1
15.9,18.21,12.5,12.5,Tier 1
13.6,13.46,28.57,14.29,Tier 1
15,18.02,25,12.5,Tier 1
15.3,14.53,14.29,0,Tier 1
16.5,10.97,14.29,14.29,Tier 2
17.9,10.67,16.67,16.67,Tier 2
16.3,7,20,0,Tier 2
13.5,9.83,50,16.67,Tier 2
16.5,8.35,16.67,16.67,Tier 2
11.5,8.97,33.33,0,Tier 2
15.2,14.68,12.5,25,Tier 2
14.1,12.02,28.57,14.29,Tier 2
13.5,6.57,33.33,0,Tier 2
13,11.71,14.29,14.29,Tier 2
15.3,14.78,28.57,14.29,Tier 2
16.5,11.11,0,0,Tier 3
16.5,11.51,28.57,14.29,Tier 3
15.9,11.25,33.33,16.67,Tier 3
17.9,16.47,42.86,28.57,Tier 3
14.9,11.2,28.57,14.29,Tier 3
13.6,12.52,0,14.29,Tier 3
13.3,17.12,62.5,12.5,Tier 3
14,17.37,42.86,0,Tier 3
13.1,12.16,28.57,28.57,Tier 3
12.1,12.73,14.29,28.57,Tier 3
14.2,10.86,14.29,14.29,Tier 3
13.1,15.51,12.5,12.5,Tier 4
13.5,14.24,0,14.29,Tier 4
13,12.74,0,37.5,Tier 4
13.1,8.71,0,16.67,Tier 4
12.5,15.83,14.29,14.29,Tier 4
15.6,13.41,0,25,Tier 4
12,7.77,16.67,16.67,Tier 4
11.5,8.18,33.33,16.67,Tier 4
13.1,11.37,25,12.5,Tier 4
11.1,8.35,16.67,0,Tier 4
12,12.77,0,25,Tier 4
14.5,21.05,44.44,11.11,Misting
11.3,22.54,33.33,33.33,Misting
11.2,24.76,0,33.33,Misting
18.2,28.78,50,12.5,Misting
